year,sex,bin_index,pop,lower,upper,label,CRS_relevant
2028,M,21,2540399,40,44,40-44,TRUE
2028,M,22,2123882,45,49,45-49,FALSE
2028,M,23,1575298,50,54,50-54,FALSE
2028,M,24,1234467,55,59,55-59,FALSE
2028,M,25,977675,60,64,60-64,FALSE
2028,M,26,795722,65,69,65-69,FALSE
2028,M,27,555707,70,74,70-74,FALSE
2028,M,28,574497,75,Inf,75+,FALSE
2029,F,1,582765,0,0,0,FALSE
2029,F,2,580815,1,1,1,FALSE
2029,F,3,579234,2,2,2,FALSE
2029,F,4,578009,3,3,3,FALSE
2029,F,5,577014,4,4,4,FALSE
2029,F,6,574760,5,5,5,FALSE
2029,F,7,572926,6,6,6,FALSE
2029,F,8,598208,7,7,7,FALSE
2029,F,9,611091,8,8,8,FALSE
2029,F,10,591863,9,9,9,FALSE
2029,F,11,573524,10,10,10,FALSE
2029,F,12,550006,11,11,11,FALSE
2029,F,13,529635,12,12,12,FALSE
2029,F,14,517229.00000000006,13,13,13,FALSE
2029,F,15,514866.99999999994,14,14,14,FALSE
2029,F,16,2683484,15,19,15-19,TRUE
2029,F,17,2818830,20,24,20-24,TRUE
2029,F,18,2582070,25,29,25-29,TRUE
2029,F,19,2753326,30,34,30-34,TRUE
2029,F,20,2823613,35,39,35-39,TRUE
2029,F,21,2643826,40,44,40-44,TRUE
2029,F,22,2261673,45,49,45-49,FALSE
2029,F,23,1759336,50,54,50-54,FALSE
2029,F,24,1482210,55,59,55-59,FALSE
2029,F,25,1293830,60,64,60-64,FALSE
2029,F,26,1134137,65,69,65-69,FALSE
2029,F,27,859398,70,74,70-74,FALSE
2029,F,28,1154418,75,Inf,75+,FALSE
2029,M,1,602277,0,0,0,FALSE
2029,M,2,599438,1,1,1,FALSE
2029,M,3,597100,2,2,2,FALSE
2029,M,4,595202,3,3,3,FALSE
2029,M,5,593662,4,4,4,FALSE
2029,M,6,591280,5,5,5,FALSE
2029,M,7,589444,6,6,6,FALSE
2029,M,8,604911,7,7,7,FALSE
2029,M,9,608875,8,8,8,FALSE
2029,M,10,590424,9,9,9,FALSE
2029,M,11,572767,10,10,10,FALSE
2029,M,12,550368,11,11,11,FALSE
2029,M,13,530796,12,12,12,FALSE
2029,M,14,519148,13,13,13,FALSE
2029,M,15,516735,14,14,14,FALSE
2029,M,16,2695407,15,19,15-19,TRUE
2029,M,17,2841804,20,24,20-24,TRUE
2029,M,18,2617909,25,29,25-29,TRUE
2029,M,19,2690701,30,34,30-34,TRUE
2029,M,20,2719891,35,39,35-39,TRUE
2029,M,21,2565312,40,44,40-44,TRUE
2029,M,22,2200911,45,49,45-49,FALSE
2029,M,23,1646595,50,54,50-54,FALSE
2029,M,24,1264899,55,59,55-59,FALSE
2029,M,25,986923,60,64,60-64,FALSE
2029,M,26,805320,65,69,65-69,FALSE
2029,M,27,573647,70,74,70-74,FALSE
2029,M,28,609085,75,Inf,75+,FALSE
