year,sex,age,mu
2031,F,26,0.0025230193580554417
2031,F,27,0.0025230193580554417
2031,F,28,0.0025230193580554417
2031,F,29,0.0025230193580554417
2031,F,30,0.0036330161215841297
2031,F,31,0.0036330161215841297
2031,F,32,0.0036330161215841297
2031,F,33,0.0036330161215841297
2031,F,34,0.0036330161215841297
2031,F,35,0.004751591703121062
2031,F,36,0.004751591703121062
2031,F,37,0.004751591703121062
2031,F,38,0.004751591703121062
2031,F,39,0.004751591703121062
2031,F,40,0.006099140599204498
2031,F,41,0.006099140599204498
2031,F,42,0.006099140599204498
2031,F,43,0.006099140599204498
2031,F,44,0.006099140599204498
2031,F,45,0.007398554571287208
2031,F,46,0.007398554571287208
2031,F,47,0.007398554571287208
2031,F,48,0.007398554571287208
2031,F,49,0.007398554571287208
2031,F,50,0.00934431842810957
2031,F,51,0.00934431842810957
2031,F,52,0.00934431842810957
2031,F,53,0.00934431842810957
2031,F,54,0.00934431842810957
2031,F,55,0.012776871296653187
2031,F,56,0.012776871296653187
2031,F,57,0.012776871296653187
2031,F,58,0.012776871296653187
2031,F,59,0.012776871296653187
2031,F,60,0.017348000581163318
2031,F,61,0.017348000581163318
2031,F,62,0.017348000581163318
2031,F,63,0.017348000581163318
2031,F,64,0.017348000581163318
2031,F,65,0.025229463285442632
2031,F,66,0.025229463285442632
2031,F,67,0.025229463285442632
2031,F,68,0.025229463285442632
2031,F,69,0.025229463285442632
2031,F,70,0.03594473723676975
2031,F,71,0.03594473723676975
2031,F,72,0.03594473723676975
2031,F,73,0.03594473723676975
2031,F,74,0.03594473723676975
2031,F,75,0.05289768077101327
2031,F,76,0.05289768077101327
2031,F,77,0.05289768077101327
2031,F,78,0.05289768077101327
2031,F,79,0.05289768077101327
2031,F,80,0.07336165693600913
2031,F,81,0.07336165693600913
2031,F,82,0.07336165693600913
2031,F,83,0.07336165693600913
2031,F,84,0.07336165693600913
2031,F,85,0.10791942650088251
2031,F,86,0.10791942650088251
2031,F,87,0.10791942650088251
2031,F,88,0.10791942650088251
2031,F,89,0.10791942650088251
2031,F,90,0.15666107453475056
2031,F,91,0.15666107453475056
2031,F,92,0.15666107453475056
2031,F,93,0.15666107453475056
2031,F,94,0.15666107453475056
2031,F,95,0.22536544863552707
2031,F,96,0.22536544863552707
2031,F,97,0.22536544863552707
2031,F,98,0.22536544863552707
2031,F,99,0.22536544863552707
2031,F,100,0.22536544863552707
2031,M,0,0.022552251049228405
2031,M,1,0.002090064946617352
2031,M,2,0.002090064946617352
2031,M,3,0.002090064946617352
2031,M,4,0.002090064946617352
2031,M,5,5.278399251032846e-4
2031,M,6,5.278399251032846e-4
2031,M,7,5.278399251032846e-4
2031,M,8,5.278399251032846e-4
2031,M,9,5.278399251032846e-4
2031,M,10,5.810071065288511e-4
2031,M,11,5.810071065288511e-4
2031,M,12,5.810071065288511e-4
2031,M,13,5.810071065288511e-4
2031,M,14,5.810071065288511e-4
2031,M,15,0.0013856449638595396
2031,M,16,0.0013856449638595396
2031,M,17,0.0013856449638595396
2031,M,18,0.0013856449638595396
2031,M,19,0.0013856449638595396
2031,M,20,0.0026849459586122497
2031,M,21,0.0026849459586122497
2031,M,22,0.0026849459586122497
2031,M,23,0.0026849459586122497
